Start,"Sept 2, 2025",,
End,"Dec 21, 2025",,
Place,Day,Time,Swim
Acton,Monday,6:30-7:30am,Lane
,,7:30-8:30pm,Leisure
,Tuesday,9-10pm,Lane
,Wednesday,6:30-7:30am,Lane
,,7:30-8:30pm,Leisure/Lane
,Thursday,6:30-7:30am,Lane
,,4-5pm,Lane
,Friday,7:30-8:30am,Lane
,,4-5pm,Lane
,,7:30-8:30pm,Leisure
,Saturday,8-9am,Lane
,,2:30-3:30pm,Leisure
,,3:30-4:30pm,Lane
,Sunday,8-9am,Lane
,,2:30-3:30pm,Leisure
Gellert,Monday,6:15-7:30am,Lane
,,10-11am,Lane
,,11-12pm,Leisure
,,12-1pm,Leisure
,,12-1pm,Lane
,,1-2pm,50+
,,7:30-8:30pm,Leisure
,Tuesday,6:15-7:30am,Lane
,,10-11am,Strech & Swim
,,11-12pm,50+
,,12-1pm,Leisure
,,12-1pm,Lane
,,7:30-8:30pm,Leisure
,,8:30-9:30pm,Lane
,Wednesday,6:15-7:30am,Lane
,,10-11am,Lane
,,11-12pm,Leisure
,,12-1pm,Leisure
,,12-1pm,Lane
,,1-2pm,50+
,,4-5pm,After School
,,7:30-8:30pm,Leisure
,,8:30-9:30pm,Lane
,Thursday,6:15-7:30am,Lane
,,10-11am,Strech & Swim
,,11-12pm,50+
,,12-1pm,Leisure
,,12-1pm,Lane
,,7:30-8:30pm,Leisure
,,8:30-9:30pm,Lane
,Friday,6:15-7:30am,Lane
,,10-11am,Lane
,,11-12pm,Leisure
,,12-1pm,Leisure
,,12-1pm,Lane
,,1-2pm,50+
,,7:30-8:30pm,Youth Only
,,8:30-9:30pm,Lane
,Saturday,7:30-8:45am,Lane
,,2-3:30pm,Leisure
,,3:30-5pm,Family
,Sunday,7:30-8:45am,Lane
,,2-3:30pm,Leisure
,,3:30-5pm,Family
